,T20,Normalized T20
176,0.805896008,2.758600127
177,0.807701413,4.022192951
178,0.806978281,3.516076924
179,0.806617201,3.263359059
180,0.806256443,3.01086656
181,0.806617201,3.263359059
182,0.807339685,3.769021555
183,0.805536094,2.506698339
184,0.807701413,4.022192951
185,0.806978281,3.516076924
186,0.806256443,3.01086656
187,0.80481723,2.003569461
188,0.805536094,2.506698339
189,0.807339685,3.769021555
190,0.806617201,3.263359059
191,0.806978281,3.516076924
192,0.806978281,3.516076924
193,0.804099647,1.501337148
194,0.806617201,3.263359059
195,0.807339685,3.769021555
196,0.804458278,1.752340972
197,0.80481723,2.003569461
198,0.806256443,3.01086656
199,0.805176501,2.255021217
200,0.807701413,4.022192951
201,0.807701413,4.022192951
202,0.806978281,3.516076924
203,0.80481723,2.003569461
204,0.807701413,4.022192951
205,0.807339685,3.769021555
206,0.805536094,2.506698339
207,0.806617201,3.263359059
208,0.806617201,3.263359059
209,0.806256443,3.01086656
210,0.806617201,3.263359059
211,0.805536094,2.506698339
212,0.807339685,3.769021555
213,0.806256443,3.01086656
214,0.807701413,4.022192951
215,0.806256443,3.01086656
216,0.803025669,0.749665975
217,0.805896008,2.758600127
218,0.807701413,4.022192951
219,0.805536094,2.506698339
220,0.806978281,3.516076924
221,0.80481723,2.003569461
222,0.805176501,2.255021217
223,0.805896008,2.758600127
224,0.806617201,3.263359059
225,0.806978281,3.516076924
226,0.805896008,2.758600127
227,0.805536094,2.506698339
228,0.806617201,3.263359059
229,0.807339685,3.769021555
230,0.806978281,3.516076924
231,0.804099647,1.501337148
232,0.805176501,2.255021217
233,0.808063465,4.275591113
234,0.806978281,3.516076924
235,0.80481723,2.003569461
236,0.806617201,3.263359059
237,0.808063465,4.275591113
238,0.807339685,3.769021555
239,0.806256443,3.01086656
240,0.805536094,2.506698339
241,0.807339685,3.769021555
242,0.806978281,3.516076924
243,0.806256443,3.01086656
244,0.806978281,3.516076924
245,0.806256443,3.01086656
246,0.808063465,4.275591113
247,0.805896008,2.758600127
248,0.805896008,2.758600127
249,0.804099647,1.501337148
250,0.805896008,2.758600127
251,0.806256443,3.01086656
252,0.805896008,2.758600127
253,0.806256443,3.01086656
254,0.807701413,4.022192951
255,0.806978281,3.516076924
256,0.806256443,3.01086656
257,0.808063465,4.275591113
258,0.806256443,3.01086656
