Label,Average Freq,Average ER
1,2.28E-06,1.199390444
1,6.37E-06,-0.064834117
1,6.45E-06,0.398771676
1,1.45E-06,-1.300609556
1,4.95E-06,0.284352945
1,6.37E-06,1.119332822
1,6.39E-06,0.123887758
1,6.39E-06,1.75496302
1,6.41E-06,1.257678655
1,6.41E-06,-0.813648823
1,3.27E-06,0.114427943
1,6.42E-06,0.959217577
1,2.82E-06,-0.203623823
1,1.68E-06,0.699390444
1,2.82E-06,-0.536957157
1,1.45E-06,-0.885572057
1,6.28E-06,1.784352945
1,6.26E-06,2.036906932
1,2.81E-06,-0.370432223
1,6.09E-06,1.356290426
1,1.47E-06,0.119332822
1,6.11E-06,1.422049028
1,6.11E-06,#DIV/0!
1,6.11E-06,0.616617187
1,6.12E-06,0.775808402
1,1.86E-06,-0.008128306
1,6.13E-06,0.195326379
1,6.13E-06,-0.82999948
1,3.60E-06,#DIV/0!
1,1.86E-06,-1.008128306
1,3.27E-06,0.980986989
1,2.32E-06,-0.593090806
1,3.50E-06,1.603067905
1,6.19E-06,-0.1249127
1,6.20E-06,-0.146982156
