,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
34,18.66475501,13.32713987,22.08240808,15.75087786,4.804622426,2.64962371,2.063350592,0.965106528,1.300575474,6.194155974,2.991112596,2.93486839
35,19.23127439,13.15145051,22.10926481,16.72835018,4.401400249,2.62999125,2.215781096,0.622626845,1.287511417,6.002299006,3.835591843,3.042162272
36,19.58147904,12.1611612,22.77952912,16.13034517,5.219414048,2.760367023,2.527177312,0.420677586,1.652213818,5.504348988,3.576702259,3.044642573
37,18.40533154,12.43292009,22.32026986,16.4136368,4.1434533,4.052266477,2.302982921,0.96138049,2.040922835,4.812322789,2.839067741,3.601232114
38,18.41962534,11.39044068,22.72384615,15.92970579,4.884385582,3.178785033,2.417103388,0.90944659,1.558412245,4.429103026,2.884076745,3.561825314
39,19.463024,12.59284523,21.93891481,16.70035388,4.61087681,3.332611317,2.58497539,0.304917001,1.991135893,5.138449027,3.479444097,3.59596198
40,18.84179367,12.08258797,23.27842008,16.7633336,4.455269539,3.245917917,2.239092805,0.319401218,1.198737976,4.579667585,3.088354985,3.631469835
41,18.80220849,12.0449749,21.95922971,16.67986059,5.579952552,2.67675341,2.759566259,0.632463323,1.89654608,5.02494176,3.486314047,3.69197772
42,18.62064047,11.86974615,22.07611777,16.9825759,4.339021411,3.233179119,2.138386998,0.324794103,1.580525995,4.599411371,2.94245776,3.613078175
43,18.25049,12.55051651,22.97105474,16.38568002,4.250642813,3.500308123,2.610872745,1.197808096,2.160206114,4.981137267,2.876753639,2.900838516
44,18.5974647,11.26862905,24.90575206,15.88678624,4.291542165,3.112213962,2.418179405,0.633104706,1.960468326,3.863116908,2.947305081,3.081425999
45,19.75651435,12.04465724,24.45629063,16.11889759,5.31198618,3.048547948,2.867210101,0.705818104,2.412759092,4.620106547,3.62405822,2.940729086
46,19.28026785,12.6796792,22.07511532,16.96133783,4.656703535,3.193535178,2.137551641,0.679732065,1.575445304,5.360325454,3.545164714,3.577757151
47,18.23466384,12.35341111,23.07970156,15.76891199,3.986537063,2.994683144,2.603952072,0.69128516,1.654585639,4.907416144,2.847806279,2.905748698
48,18.69328915,12.54312604,23.07939789,16.15557069,4.303336598,3.350066785,2.573307742,0.30417878,1.642418396,4.797899784,2.942673552,3.615473447
49,18.80516245,11.23834054,22.97139057,16.53607595,4.625473938,3.61500234,2.794749794,0.627760937,2.341855039,3.822412764,2.811093809,3.584741823
50,18.38608931,12.64412521,23.78038831,15.6486196,3.949217459,3.390375083,2.466232184,1.017460865,2.040779508,5.171583768,2.886546636,2.941208415
51,19.31198137,12.33949366,21.51447309,16.92527339,5.069869891,3.317759109,2.069013509,0.950038115,1.300247677,5.735405089,4.126443457,3.607299571
52,17.84543887,11.64208309,23.67785209,16.36146405,5.069820728,3.8133255,2.862333502,1.728243666,2.300969536,4.489383635,3.463180318,3.701617458
53,19.40862202,12.04923841,22.21129067,16.8582532,5.718404991,3.271749159,2.11813032,0.956400844,1.660963757,5.145957796,3.457031499,3.558523509
54,18.49813922,11.37591531,23.92450419,16.4105559,4.316912845,3.691024293,2.584832771,0.609438516,1.993739791,3.950646037,2.83888356,3.646388913
55,18.72882881,11.09567948,23.99495284,16.11998696,5.098707059,3.758550677,2.125252142,1.192905364,1.561173831,4.923724056,3.461488195,3.761402917
56,18.00221334,11.77803519,22.27797031,17.16715501,5.164499378,3.532056082,2.111157288,1.166886024,1.547078978,4.983742943,3.519776906,4.282045828
57,18.49489207,11.82631664,22.09819939,16.95410627,5.601602561,3.232786931,2.129327075,0.873746004,1.565576858,5.083870297,3.652716122,4.312818977
58,18.17855195,11.75999452,23.98956582,16.1334493,3.950286508,3.100221251,2.151309239,0.733330838,1.588145471,4.471174126,2.943811033,3.073602415
59,18.17752299,11.67452844,22.44735197,17.27317429,4.514207722,4.494994904,2.528688905,0.951187666,1.640907136,4.180350295,2.903605767,4.410411845
60,19.00626922,12.14756731,22.84809085,16.12360545,5.194232798,3.277944486,1.909646539,0.914727676,1.287490813,5.640530261,3.514429755,3.557731392
61,18.67437287,12.25608658,23.08705997,16.16081953,4.862964709,3.100845157,2.732382925,0.795747602,2.102424023,4.68007836,2.863322558,2.900504487
62,19.5144322,11.76806089,22.27159057,16.02844253,5.275117409,2.67166549,2.891442971,0.306041471,1.972083486,4.979225455,3.535719473,2.935810764
63,18.14794332,11.94116251,22.63720512,16.76443461,4.002679841,3.353766529,1.912852438,0.321281746,1.176096379,4.657959226,2.893906859,3.739196784
64,18.26724183,12.11823727,21.48030645,17.36895736,3.921609172,3.730695037,2.419661366,0.732159426,1.587432121,4.545394827,2.903824906,3.70322877
65,19.16511807,12.21626381,21.5791884,17.1156227,5.72651407,3.413409867,2.364382332,0.486256265,1.606973187,5.587779876,4.152682661,4.360075581
66,18.43749311,11.96015287,23.23344058,16.3640913,4.570217806,3.314152502,1.740288355,0.91607929,1.286476443,4.842653526,2.923638417,3.594953778
