,All Mutations,LO 0,LO 1,LO 2,LO 3,LO 4,LO 5,LO 6,LO 7
57,1.236992126,,,,,0.8983421776151195,1.5999360808874763,0.934603368794132,
58,2.492552731,,,,2.2775405906690867,,,,
59,2.212884468,,,,,2.0215478499419586,,,
60,1.842329667,,,,,,,,
61,1.33038656,,,,,,,0.11969386479386054,
62,1.572777849,,,,,,1.6779029126091274,,
63,1.033212559,,,,,,1.324522244130314,,
64,0.962666602,,,,,,,,
65,0.340181888,,,,0.30777885131419946,0.5028436461829573,0.464495270110473,,
66,0.849031843,,,,0.4778592383830258,,,0.16754065746583002,
67,3.10234194,,,,,,,,3.1069798086957388
68,1.74615217,,,1.6541346076955392,,,,,
69,0.378607406,0.11169752137871304,,,,,,,
70,1.229279758,,,,,,,,
71,2.433479484,,,,,,,,
72,-1.00249693,-1.1288884777217882,,,,,-0.7700825858928768,,
73,0.8078462,,,,0.1990248884262118,1.7331468131748675,,0.7404490111442219,
74,0.8255103690000001,,1.4152494867061884,,,,,0.6019182367840955,
75,-1.592595384,-1.088796986196309,-0.2195052830784208,,,-1.1819184012956772,-1.2463726989718005,,-1.6288581867653793
76,0.825966497,,,,,0.9670939165139544,0.8404657582840684,,
77,3.12689662,,,,,,,,2.8714691083707056
78,0.736856249,,0.959985329960285,,,,,,
79,1.885279225,,,,,,1.8972442568904788,,
80,1.7647685030000002,,,,,,,,
81,2.190874887,,,,,,,,
82,-0.966576033,,0.058020326215209576,,,-0.559676336906004,,,
83,-1.699366257,-1.6560188628178114,-0.6702597519448963,,,,,,
84,-1.5552552030000002,-2.2286491344335384,,,-1.4103759455819875,-1.5672945802627236,,,
85,-2.218519947,-2.1972372898024144,,-2.0854057050438093,,,,,-2.306143353554749
86,-2.315118025,-1.9590009584626404,-1.1668765396443432,,-2.910846928788689,,,,
87,-2.079511959,-1.762569414529036,-0.5059579820209287,,,-2.0644633553725718,-1.760709846647636,,
88,-1.898476182,-1.2017052332488412,-0.24368501640991624,,,-2.0925951791686863,,,
89,-1.108530776,-1.0766478299968467,-0.321913416920518,,-1.8985084165789483,,,,-1.3181932979894206
90,-1.679201849,-1.6872544144873085,-1.14714665245105,-1.7643738146911438,,,-1.3160611950969967,,
91,-1.916721819,,-0.7190435446613286,,,,-1.3661162196648189,,
92,-1.5274668809999998,-1.4923524395778047,-0.34160158159391696,,,,-1.0927702838418405,,
93,-2.594183986,-2.587708834644762,-1.7404067033856698,,,,-1.95974821966069,,
94,-0.820347011,,0.3925580450270738,,,,-0.606169686634074,,
95,-1.064939001,-0.5583513272607306,0.05140370608983269,,-1.8916595306762216,,-0.8631223711081022,,
96,-0.8770057529999999,-0.2201995714946161,0.7005634952264963,,,,,,-0.7127640735263885
97,-1.560608623,-1.0613168527657375,-0.22498225148855733,,-1.8426812039350449,,,,
98,-1.208339748,-0.422421063716552,0.3945850656240311,,,,-0.8640133462766748,,
99,-1.932801953,-1.1741189383860693,-0.4316848215214222,,,,,,
100,-1.5763311009999998,-2.1464636886633714,-1.5213172911942536,,-2.1012863621073814,,-1.0881883700048016,,
101,-0.974120343,,0.1291307055132549,,,,,,-1.1146315724828186
102,-2.772659953,-2.51598498326748,-2.3263501570115315,-3.159012430431297,-2.5096540536233847,-2.430659934948695,,,
103,-1.740639161,-1.4387032223794938,-0.9212418885212992,,,-1.1825379968021656,-1.1768518572131006,,
104,-1.88387496,-1.5164011285565715,-0.14891751115809826,,,-1.8333763292529373,-1.5023359308733877,,
105,-1.185186516,-0.9742234339054932,0.07374376735976929,,,,,,-1.0088676542915653
106,-0.903671295,-0.5333250723363516,-0.08080617723116301,,-1.64693803340987,,-0.7668434840208658,,
