,All Mutations,LO 0,Lo 1,LO 2,LO 3,LO 4,LO 5,LO 6,LO 7
47,-0.197490621,1.0487910617014695,,,-0.12419918720863304,,,,
48,0.075882724,,,,,,,,0.18960113790976063
49,-1.4438327380000002,,,,,,-0.4475823361497211,,
50,-0.792520977,,,,-0.9897321580265172,,,,
51,-1.579404747,,,,,-1.060104216346005,,,-1.5537038954343405
52,0.139208897,0.6649002017307941,,,,,0.14023984952181445,,
53,-1.550066146,,,,,,-0.9720019598152758,,
54,-0.7841856970000001,,,-0.547494945890671,-0.6326190999665791,-0.9002892340380425,,,
55,-0.47495453,0.2955143491231973,,,,-0.2088004530512766,0.010530984292487666,,
56,-1.51947429,,,,,-1.3095750723269148,-0.9821555231923252,,-1.3942849046915606
57,-0.915413932,,,,,-0.9169219594734368,-0.35520694776134465,-0.4768124880245845,
58,-0.915947881,,,,-0.9830943794871274,,,,
59,-0.34834937,,,,,0.11556486883814975,,,
60,-2.919757355,,,,,,,,
61,-0.426267726,,,,,,,0.6753448940316886,
62,-0.731587578,,,,,,-0.5377284318412405,,
63,-0.638486838,,,,,,-0.2364851889858213,,
64,-1.678353945,,,,,,,,
65,-0.772427616,,,,-0.40594262926077596,-0.7633559591979155,0.24836971829806576,,
66,-0.391632489,,,,-0.3165017804237777,,,0.42856108433683104,
67,-3.74674719,,,,,,,,-3.770961621452031
68,-1.814082227,,,-1.7524761293134326,,,,,
69,1.345914676,1.725609663922894,,,,,,,
70,-0.667656252,,,,,,,,
71,-3.104959135,,,,,,,,
72,-1.151354701,-0.22354704545697526,,,,,-0.19961735415106616,,
73,-1.33430834,,,,-0.3915710215580109,-1.3214366919441844,,-0.754919555982057,
74,-0.928113837,,-1.567731980096975,,,,,-0.4852285466796367,
75,1.117217961,1.9940273415990093,0.6734040170465051,,,1.3826083743817117,1.6850638055569542,,1.2766255169182346
76,-0.011112819,,,,,-0.09532495145220854,0.3896957459727306,,
77,0.228984701,,,,,,,,0.3615795302387035
78,-1.630725697,,-2.119631642211824,,,,,,
79,-2.820438359,,,,,,-2.0309303677426347,,
80,-0.337606219,,,,,,,,
81,-0.410350401,,,,,,,,
82,0.5495933620000001,,-0.12975426199219964,,,0.6190455290260881,,,
83,0.979830975,1.7621237682521684,0.2744162787206954,,,,,,
84,2.1727095480000003,3.1175301768327475,,,2.5824272798185994,2.4615096576054816,,,
85,1.924668751,2.9127890760597377,,2.1493185295336,,,,,1.9237765221937306
86,2.096027271,2.8060583643318964,1.2531992713443716,,2.5605308525127204,,,,
87,1.41855391,2.209059099690247,0.9859092665327132,,,1.5093150187149282,1.7631438719647479,,
88,1.402895812,2.150684035098112,0.7690223610913621,,,1.8749854592899469,,,
89,-0.086541566,1.0457257141642429,-0.061129321863424124,,-0.09701586143917296,,,,0.13598889525836833
90,0.7185941709999999,1.8335499366511283,0.33391007133325257,0.9378295065061248,,,1.4925684434703772,,
91,1.281719548,,0.7635569087925318,,,,1.7486049089085751,,
92,0.987417503,1.861198024983308,0.8862891939856468,,,,1.5929994599506632,,
93,2.004239714,2.594868141505978,0.7325408999737366,,,,1.7778877588012372,,
94,0.006196206,,-0.08734533053433369,,,,0.7029931688153945,,
95,0.535462616,1.3830411322663894,0.4989176805606972,,0.3907589310557607,,1.5302542648562731,,
96,-0.272677113,0.6608700580753855,-0.3852836764547217,,,,,,-0.11174692038608924
97,1.019051959,1.7112042018657607,0.3433396955984783,,1.303192062950333,,,,
98,-0.1144029,0.8000393812795534,-0.1457802956587151,,,,0.9809732096282112,,
99,0.6809666529999999,1.4283352757122163,0.06254492754310759,,,,,,
100,0.139500325,1.3336620992499375,0.04546208143117436,,0.07312640506356782,,0.5499346383802604,,
101,-0.2442806260000001,,-0.3961070676743901,,,,,,-0.19167642095338167
102,1.7102536780000002,2.481459513502335,1.0365278362105177,2.2524086088828725,2.8354070537400697,1.9327713080732345,,,
103,0.815698516,1.6457180051432152,0.4363299663768059,,,1.2665458575812518,1.3312986382674217,,
104,1.248496352,2.0819955930634158,0.9657617913174208,,,1.5448790959954968,1.6387341113464835,,
105,0.823190347,1.5570495290865791,0.3924001906165469,,,,,,1.0134204269590725
106,0.11917739,1.0806546390819458,0.18656250471113145,,0.01958448315127237,,1.2136352129220347,,
107,1.4958214319999998,2.157401662831276,0.9652548331474796,,,1.7469439750593985,2.1670088684855493,,
108,1.080711565,1.8026474874724272,0.7043657078453098,,0.8737107592474923,,1.4804572631554334,,
109,0.992579767,1.6423580001618712,0.5292157185496498,,0.980958605475176,,1.7305147502583191,,
110,1.709838643,2.4262336752158875,1.0716956197039718,,2.2799790495057044,1.8539686581366448,,,1.7925040929003457
111,1.810647905,2.6756714345211337,,,2.2396006975123526,2.116519805723108,,,1.8586143297251185
112,1.168732339,1.8591670296359084,0.6304639758982771,,,1.523815351343769,,,1.2890624730011409
113,1.6016747409999998,2.5082790839871034,1.0437425589108813,,2.244552418813903,1.6031818656995818,,,
114,2.164663853,3.1467149409037405,,,2.7447097548778814,2.182212868878834,2.319589835858802,2.691033393507421,
115,1.062441786,1.6644291339595636,0.29789657958928834,,,,,,1.3044841295017031
116,1.5250033280000002,2.3768242188772013,0.982179508235614,,2.2182035559704345,1.495747177317739,,,1.6236635537831838
117,1.854153188,2.597139256345219,1.2779593077665772,,2.3725119480453065,1.813895117041848,2.0806576548604414,,
118,0.36295575,1.3443409807348718,0.3035914062028375,,,0.4153549995418686,,,0.5778737716365161
119,1.145705858,2.0480095131515843,0.6346174980743355,,,1.3213952356364578,,,
120,1.442941689,2.318038763334364,1.1820960949720858,,1.9952873764495849,1.5610396760982357,1.915559217566404,,
121,2.102457551,3.0690115296665774,,2.1970307677476484,,,,,
122,1.111641404,1.989749630572331,0.6065697456586863,,,1.2548611077524183,,,1.2820121409229188
123,1.921408569,2.6866766615192352,1.4192446088760766,,2.562362187604964,1.7726890042427637,2.2462812886509456,,
124,-0.347802031,,-0.4809716874448049,,,,,,
125,2.609735764,3.203998425196726,2.180252578346185,3.0047526287013455,3.34004827716641,2.7055481747503145,2.89014959365247,3.3049652248282118,2.7419384482869757
